center_frequency,feed_center,feed_h,feed_r1,freq_step,ground_thickness,lumpedport_D,lumpedport_r,num_of_freq_points,patch_length,patch_name,patch_width,signal_layer_thickness,start_frequency,stop_frequency,sub_high,sub_length,sub_width,sweep_type,unit,Directivity,Directivity_Phi,Directivity_Theta,Directivity_Total,Directivity_dB,Gain,Gain_Phi,Gain_Theta,Gain_Total,Gain_dB,Phi(deg),RealizedGain,RealizedGain_Phi,RealizedGain_Theta,RealizedGain_Total,RealizedGain_dB,Theta(deg),_极值列,_极值数值,_极值类型,rEPhi_Imag,rEPhi_Real,rETheta_Imag,rETheta_Real,rETotal,Freq [GHz],_最小值,_最小值所在列名,"dB(S(ground_T1,ground_T1)) []"
2.5,6.3,1.575,0.5,0.01GHz,0.035,1.15,1.5,201.0,37.680922943179795,Patch,40.87691096404444,0.035,2.0,3.0,1.575,50.0,60.0,Interpolating,GHz,5.438840013446498,0.8941676948256507,4.544672318620846,5.438840013446498,7.355062839853733,5.398469498330131,0.887530615898659,4.510938882431472,5.398469498330131,7.322706519261835,-25.0,4.7274397396876955,0.7772105603424556,3.9502291793452393,4.7274397396876955,6.746260016338602,0.0,RealizedGain,4.7274397396876955,max,-0.649585558491889,0.2106559389864873,-1.478130330315376,0.4304928251451059,1.6842003052876924,2.52,-18.5194958012853,"dB(S(ground_T1,ground_T1)) []",-18.5194958012853
2.5,6.3,1.575,0.5,0.01GHz,0.035,1.15,1.5,201.0,32.77368293182285,Patch,48.129273451210686,0.035,2.0,3.0,1.575,50.0,60.0,Interpolating,GHz,4.711487280264123,0.15966628895277288,4.551820991311351,4.711487280264123,6.731580229786348,4.677033991194549,0.15849871097139975,4.518535280223151,4.677033991194549,6.69970526234051,-10.0,0.2558337593183418,0.008669879490135568,0.24716387982820634,0.2558337593183418,-5.920421474325184,5.0,RealizedGain,0.2558337593183418,max,-0.02107649608162691,0.06897703646654026,-0.13284696452080194,0.36146024081327505,0.39179570176045475,2.835,-18.9617280794216,"dB(S(ground_T1,ground_T1)) []",-18.9617280794216
2.5,6.3,1.575,0.5,0.01GHz,0.035,1.15,1.5,201.0,33.36521637471054,Patch,29.550212862539485,0.035,2.0,3.0,1.575,50.0,60.0,Interpolating,GHz,4.802834066612625,0.053544621467580045,4.7492894451450445,4.802834066612625,6.814975824333912,4.673027740487959,0.05209746953602382,4.620930270951935,4.673027740487959,6.695983591336835,-5.0,0.2593530395970817,0.0028914095592493224,0.2564616300378324,0.2593530395970817,-5.861086577436403,5.0,RealizedGain,0.2593530395970817,max,-0.009058273336065134,0.04065506476581504,-0.09994190345286123,0.37933127890950374,0.39448129211896,2.815,-10.0252594733777,"dB(S(ground_T1,ground_T1)) []",-10.0252594733777
2.5,6.3,1.575,0.5,0.01GHz,0.035,1.15,1.5,201.0,45.22273477612352,Patch,37.09494620849434,0.035,2.0,3.0,1.575,50.0,60.0,Interpolating,GHz,3.777529788172064,2.1578194122968934,1.619710375875171,3.777529788172064,5.772078977066939,3.4743946817138114,1.9846610643965252,1.4897336173172866,3.4743946817138114,5.408791515763369,35.0,0.056285193843763744,0.032151509243223714,0.024133684600540044,0.056285193843763744,-12.496058338810322,0.0,RealizedGain,0.056285193843763744,max,0.008911627403961892,0.1386071532035982,-0.0006477009999635314,-0.1203334217264107,0.18377135773336484,2.08,-8.46327586140591,"dB(S(ground_T1,ground_T1)) []",-8.46327586140591
2.5,6.3,1.575,0.5,0.01GHz,0.035,1.15,1.5,201.0,31.51326295345193,Patch,52.64581363856518,0.035,2.0,3.0,1.575,50.0,60.0,Interpolating,GHz,4.466984312996435,0.03449503766607242,4.4324892753303615,4.466984312996435,6.500144273339277,4.4346928601314,0.03424567594800442,4.400447184183395,4.4346928601314,6.468635466549695,5.0,0.18403975369545314,0.0014211955518421838,0.1826185581436109,0.18403975369545314,-7.350883566329377,5.0,RealizedGain,0.18403975369545314,max,0.009731850871678374,-0.027532317355510535,-0.11610503255464562,0.309989254165892,0.3323047602776621,2.925,-13.9292618872576,"dB(S(ground_T1,ground_T1)) []",-13.9292618872576
2.5,6.3,1.575,0.5,0.01GHz,0.035,1.15,1.5,201.0,31.291247331897356,Patch,21.07634692121891,0.035,2.0,3.0,1.575,50.0,60.0,Interpolating,GHz,4.398796558128061,0.034132919324984384,4.364663638803075,4.398796558128061,6.433338765652935,4.185262744626699,0.03247598149367446,4.152786763133022,4.185262744626699,6.217227275526161,5.0,0.12932461880896495,0.0010035078281545409,0.12832111098081037,0.12932461880896495,-8.883187930225493,5.0,RealizedGain,0.12932461880896495,max,0.0031721882203465546,-0.02433220302045453,-0.045358676298080235,0.2737463624424031,0.27856166166200164,2.985,-5.52498044878445,"dB(S(ground_T1,ground_T1)) []",-5.52498044878445
2.5,6.3,1.575,0.5,0.01GHz,0.035,1.15,1.5,201.0,46.20346544215877,Patch,49.13406594243709,0.035,2.0,3.0,1.575,50.0,60.0,Interpolating,GHz,2.9842040751479075,2.937760866236042,0.04644320891186582,2.9842040751479075,4.7482851909557695,2.7480440404239728,2.7052761933684417,0.04276784705553112,2.7480440404239728,4.390236884893504,95.0,0.03819781216189322,0.03760333908782134,0.0005944730740718824,0.03819781216189322,-14.179615112565546,5.0,RealizedGain,0.03819781216189322,max,-0.011201468749384715,0.14979006005376738,-0.012562738143711094,0.014102122461669461,0.15139097476615326,2.055,-15.3255239233372,"dB(S(ground_T1,ground_T1)) []",-15.3255239233372
2.5,6.3,1.575,0.5,0.01GHz,0.035,1.15,1.5,201.0,47.234924431495536,Patch,53.006834191979785,0.035,2.0,3.0,1.575,50.0,60.0,Interpolating,GHz,2.25889474228375,0.17527006525796016,2.0836246770257905,2.25889474228375,3.53895994572258,2.039748237435327,0.15826625295681476,1.8814819844785124,2.039748237435327,3.0957656652390053,-165.0,0.02733262638163338,0.002120767789621318,0.025211858592012065,0.02733262638163338,-15.633186351112919,0.0,RealizedGain,0.02733262638163338,max,0.005271630856427507,-0.03528031405624209,-0.01372658420527488,0.1222254164337016,0.12806233711802148,2.02,-15.5472292358039,"dB(S(ground_T1,ground_T1)) []",-15.5472292358039
2.5,6.3,1.575,0.5,0.01GHz,0.035,1.15,1.5,201.0,36.29980631511311,Patch,55.703532827825775,0.035,2.0,3.0,1.575,50.0,60.0,Interpolating,GHz,5.327958687560905,2.1923057466322726,3.13565294092863,5.327958687560905,7.265608487009285,5.348934902866263,2.200936871619014,3.147998031247247,5.348934902866263,7.282673125149457,-140.0,2.0379441979920463,0.8385569480868442,1.199387249905201,2.0379441979920463,3.0919228819056506,0.0,RealizedGain,2.0379441979920463,max,-0.5184122607054474,0.4841433157522579,0.623771024068841,-0.5749426174510481,1.1058007623738901,2.585,-12.9111818813974,"dB(S(ground_T1,ground_T1)) []",-12.9111818813974
2.5,6.3,1.575,0.5,0.01GHz,0.035,1.15,1.5,201.0,35.977838470443466,Patch,48.65179115143956,0.035,2.0,3.0,1.575,50.0,60.0,Interpolating,GHz,5.285305507414176,0.15539056642103644,5.129914940993137,5.285305507414176,7.230700959668917,5.285305507414176,0.15539056642103644,5.129914940993137,5.285305507414176,7.230700959668917,10.0,1.264245077373471,0.03716942348791192,1.2270756538855583,1.264245077373471,1.0183127128326501,0.0,RealizedGain,1.264245077373471,max,0.07378662939152049,-0.1298372551410125,-0.483266298511127,0.7090249800459433,0.8709563233051989,2.62,-22.2093703066514,"dB(S(ground_T1,ground_T1)) []",-22.2093703066514
2.5,6.3,1.575,0.5,0.01GHz,0.035,1.15,1.5,201.0,39.89393039657405,Patch,41.84376615942806,0.035,2.0,3.0,1.575,50.0,60.0,Interpolating,GHz,5.55010163712901,0.4195820851333329,5.130519551995676,5.55010163712901,7.44300936283058,5.4814051754007505,0.41438870192384347,5.067016473476905,5.4814051754007505,7.388919055089942,-165.0,1.0628444635102055,0.08034996930303326,0.982494494207172,1.0628444635102055,0.2646971458769952,0.0,RealizedGain,1.0628444635102055,max,-0.08042343664834027,-0.2043114979705788,0.2934133783095401,0.7095203830485892,0.7985747941788205,2.39,-17.8861454821961,"dB(S(ground_T1,ground_T1)) []",-17.8861454821961
2.5,6.3,1.575,0.5,0.01GHz,0.035,1.15,1.5,201.0,32.70348445577199,Patch,29.83667656886815,0.035,2.0,3.0,1.575,50.0,60.0,Interpolating,GHz,4.647467307665245,0.031134785329640063,4.616332522335604,4.647467307665245,6.67216343435755,4.557877576433144,0.03053459669677953,4.527342979736364,4.557877576433144,6.587626559488823,5.0,0.1891519194219755,0.0012671857629163504,0.1878847336590591,0.1891519194219755,-7.231892473390249,5.0,RealizedGain,0.1891519194219755,max,0.004261057017750386,-0.027242847925473036,-0.07174576565138664,0.3280031114837193,0.3368884465248161,2.89,-10.1621758729476,"dB(S(ground_T1,ground_T1)) []",-10.1621758729476
2.5,6.3,1.575,0.5,0.01GHz,0.035,1.15,1.5,201.0,33.72466671064403,Patch,28.41117242206691,0.035,2.0,3.0,1.575,50.0,60.0,Interpolating,GHz,4.7868135798241775,0.040646484554083956,4.746167095270092,4.7868135798241775,6.800465144194558,4.697111792127302,0.03988479574642651,4.657226996380875,4.697111792127302,6.718308965950532,-5.0,0.2757204621978726,0.0023412375103152357,0.2733792246875573,0.2757204621978726,-5.595310021573323,5.0,RealizedGain,0.2757204621978726,max,-0.011073401847943264,0.03580719721178919,-0.10459117377417981,0.39126983722387465,0.40673845988953156,2.81,-8.67026357174926,"dB(S(ground_T1,ground_T1)) []",-8.67026357174926
2.5,6.3,1.575,0.5,0.01GHz,0.035,1.15,1.5,201.0,41.93440461278449,Patch,53.87439966596051,0.035,2.0,3.0,1.575,50.0,60.0,Interpolating,GHz,4.662674275905822,0.1475338802424284,4.515140395663393,4.662674275905822,6.686350776638729,4.442142384477844,0.14055592644717843,4.301586458030665,4.442142384477844,6.475924749242955,-170.0,0.13148741458054417,0.004160455422836481,0.1273269591577077,0.13148741458054417,-8.81115814016766,0.0,RealizedGain,0.13148741458054417,max,0.002698219600057729,-0.04989039661726669,-0.008889549009884198,0.2762588482523428,0.28088130479429996,2.195,-21.9340791953267,"dB(S(ground_T1,ground_T1)) []",-21.9340791953267
2.5,6.3,1.575,0.5,0.01GHz,0.035,1.15,1.5,201.0,39.56195539723056,Patch,35.63053811650791,0.035,2.0,3.0,1.575,50.0,60.0,Interpolating,GHz,5.4676637729078355,0.34905862721938496,5.1186051456884485,5.4676637729078355,7.378018003251175,5.340635407788834,0.34094906734372715,4.9996863404451055,5.340635407788834,7.275929307513714,165.0,1.6091334483667759,0.10272795399066498,1.5064054943761103,1.6091334483667759,2.065920624247285,0.0,RealizedGain,1.6091334483667759,max,0.1326077078000577,0.2098890667303394,0.5094376765605009,0.8027065740702263,0.9826000279136164,2.415,-11.986893343581,"dB(S(ground_T1,ground_T1)) []",-11.986893343581
2.5,6.3,1.575,0.5,0.01GHz,0.035,1.15,1.5,201.0,33.49494486469718,Patch,23.17335185805439,0.035,2.0,3.0,1.575,50.0,60.0,Interpolating,GHz,4.710091336907755,0.03620772155525317,4.6738836153525005,4.710091336907755,6.730293289400262,4.573566950330719,0.03515822237973859,4.538408727950979,4.573566950330719,6.602550409035973,5.0,0.22090328370097367,0.0016981421409413737,0.21920514156003226,0.22090328370097367,-6.557978283448906,5.0,RealizedGain,0.22090328370097367,max,0.005343789921433001,-0.031469877626941714,-0.0784025652786511,0.3540892843033765,0.36406742890476984,2.85,-6.29964932009291,"dB(S(ground_T1,ground_T1)) []",-6.29964932009291
2.5,6.3,1.575,0.5,0.01GHz,0.035,1.15,1.5,201.0,44.322749917936434,Patch,47.16766979710862,0.035,2.0,3.0,1.575,50.0,60.0,Interpolating,GHz,4.045748559774381,0.9050202240570986,3.1407283357172813,4.045748559774381,6.06998888198561,3.7967794176344194,0.8493266718074308,2.9474527458269875,3.7967794176344194,5.794153665664727,155.0,0.07403719864387118,0.016561870100244902,0.057475328543626254,0.07403719864387118,-11.305500220710094,0.0,RealizedGain,0.07403719864387118,max,-0.005942273693827911,0.09950902247076915,-0.007273071002960515,0.1855616124212251,0.21076851220217757,2.105,-15.6354277959813,"dB(S(ground_T1,ground_T1)) []",-15.6354277959813
2.5,6.3,1.575,0.5,0.01GHz,0.035,1.15,1.5,201.0,30.858150658782574,Patch,24.41792753801562,0.035,2.0,3.0,1.575,50.0,60.0,Interpolating,GHz,4.297504542825713,6.000672886366894e-05,4.29744453609685,4.297504542825713,6.332163444453255,4.1126656377579405,5.742579428888748e-05,4.112608211963653,4.1126656377579405,6.141234025363031,0.0,0.11474337129344654,1.6021796606599606e-06,0.11474176911378589,0.11474337129344654,-9.402723941900993,5.0,RealizedGain,0.11474337129344654,max,-0.0004089052105723917,-0.000891138021130024,-0.04001892590901722,0.2593167348333692,0.26238834716121684,3.0,-5.38804394901023,"dB(S(ground_T1,ground_T1)) []",-5.38804394901023
2.5,6.3,1.575,0.5,0.01GHz,0.035,1.15,1.5,201.0,42.73773320161497,Patch,44.71357819422343,0.035,2.0,3.0,1.575,50.0,60.0,Interpolating,GHz,4.789110713402196,3.8903974591422545,0.8987132542599406,4.789110713402196,6.802548770642963,4.575470086782024,3.716848130109887,0.8586219566721368,4.575470086782024,6.604357203931828,-115.0,0.12308014533443644,0.09998321469995596,0.023096930634480477,0.12308014533443644,-9.098119996044092,0.0,RealizedGain,0.12308014533443644,max,-0.008005647684155594,-0.2448004324618472,0.004693974576372583,0.1176284466828567,0.27175324652098554,2.19,-18.2460226966228,"dB(S(ground_T1,ground_T1)) []",-18.2460226966228
2.5,6.3,1.575,0.5,0.01GHz,0.035,1.15,1.5,201.0,42.925854630903466,Patch,30.568616844484488,0.035,2.0,3.0,1.575,50.0,60.0,Interpolating,GHz,4.882001414357235,0.7720897535590535,4.109911660798179,4.882001414357235,6.885979008999845,4.587531487776957,0.7255192604872376,3.8620122272897177,4.587531487776957,6.615790581693226,-155.0,0.14450724186497413,0.022853856705347984,0.1216533851596261,0.14450724186497413,-8.40110388041077,0.0,RealizedGain,0.14450724186497413,max,-0.01941949480740188,-0.1154795232685438,0.03768399300611449,0.2675325538939479,0.29445948413119233,2.215,-7.0123007439407,"dB(S(ground_T1,ground_T1)) []",-7.0123007439407
2.5,6.3,1.575,0.5,0.01GHz,0.035,1.15,1.5,201.0,29.380999506318084,Patch,50.941599082267714,0.035,2.0,3.0,1.575,50.0,60.0,Interpolating,GHz,4.280514027803514,9.17539867173311e-05,4.280422273816796,4.280514027803514,6.3149592462863025,4.1773691114709,8.954304727835928e-05,4.177279568423621,4.1773691114709,6.209028511312061,0.0,0.13868865450083384,2.972829169641528e-06,0.1386856816716642,0.13868865450083384,-8.579590651647578,5.0,RealizedGain,0.13868865450083384,max,0.001119738817202917,-0.0007279591371300843,-0.0946994726121515,0.27248005298625394,0.28847036785073,3.0,-11.8051345329459,"dB(S(ground_T1,ground_T1)) []",-11.8051345329459
2.5,6.3,1.575,0.5,0.01GHz,0.035,1.15,1.5,201.0,40.891165443076524,Patch,32.084553814052484,0.035,2.0,3.0,1.575,50.0,60.0,Interpolating,GHz,5.362575319523658,0.6450106507750601,4.717564668748597,5.362575319523658,7.293734050760039,5.184464649126554,0.6235874963058706,4.560877152820682,5.184464649126554,7.147039175362755,160.0,0.577549361912698,0.06946764708847399,0.5080817148242239,0.577549361912698,-2.3841089162601445,0.0,RealizedGain,0.577549361912698,max,0.06209018305487782,0.1944900495608861,0.1785326080262084,0.5224770987639986,0.588674596930655,2.35,-8.74327822936192,"dB(S(ground_T1,ground_T1)) []",-8.74327822936192
2.5,6.3,1.575,0.5,0.01GHz,0.035,1.15,1.5,201.0,39.17975433204788,Patch,53.34224577835552,0.035,2.0,3.0,1.575,50.0,60.0,Interpolating,GHz,5.574993990206641,0.36367543539019886,5.211318554816441,5.574993990206641,7.462444035549068,5.596911407609169,0.3651051815622117,5.231806226046955,5.596911407609169,7.479484326006761,-165.0,1.5660158118490455,0.10215642980110684,1.4638593820479382,1.5660158118490455,1.9479614275648491,0.0,RealizedGain,1.5660158118490455,max,-0.09879510313730208,-0.2270128399551841,0.3600768324037588,0.865263541538285,0.9693459771710659,2.405,-19.225812028222,"dB(S(ground_T1,ground_T1)) []",-19.225812028222
2.5,6.3,1.575,0.5,0.01GHz,0.035,1.15,1.5,201.0,47.198747758900424,Patch,53.12174976204328,0.035,2.0,3.0,1.575,50.0,60.0,Interpolating,GHz,2.3724175187248093,2.225545940173048,0.14687157855176097,2.3724175187248093,3.7519112234891456,2.1583648102684356,2.0247448027138257,0.1336200075546096,2.1583648102684356,3.3412485169827884,100.0,0.028706251976570195,0.02692910587609388,0.0017771461004763077,0.028706251976570195,-15.420235073346353,5.0,RealizedGain,0.028706251976570195,max,-0.01482253031575396,0.1262463337126988,-0.01722317311470557,0.02774301874198207,0.13124083572545797,2.015,-16.618138275502,"dB(S(ground_T1,ground_T1)) []",-16.618138275502
2.5,6.3,1.575,0.5,0.01GHz,0.035,1.15,1.5,201.0,29.825142895878656,Patch,59.441172585362416,0.035,2.0,3.0,1.575,50.0,60.0,Interpolating,GHz,4.265038595174926,0.0006643003812785436,4.264374294793648,4.265038595174926,6.299229655376939,4.190792275336291,0.0006527361580067701,4.190139539178285,4.190792275336291,6.222961347276705,0.0,0.21666396063488627,3.3746459368950016e-05,0.2166302141755173,0.21666396063488627,-6.642133221783868,5.0,RealizedGain,0.21666396063488627,max,0.0026073750150922446,-0.0036674170984017243,-0.1510914399346907,0.32734166775821466,0.3605571231093772,2.935,-9.10358793899493,"dB(S(ground_T1,ground_T1)) []",-9.10358793899493
2.5,6.3,1.575,0.5,0.01GHz,0.035,1.15,1.5,201.0,46.50736592162121,Patch,31.203948001956274,0.035,2.0,3.0,1.575,50.0,60.0,Interpolating,GHz,2.6906513021436713,2.5812905309910095,0.10936077115266193,2.6906513021436713,4.298574185488576,2.419325120414898,2.3209923261851935,0.09833279422970441,2.419325120414898,3.836942348415364,75.0,0.02878996893293728,0.0276198086816038,0.0011701602513334826,0.02878996893293728,-15.407588037659327,5.0,RealizedGain,0.02878996893293728,max,0.00250090086221235,0.12870905610112413,-0.011398211589864858,-0.023920565714506563,0.13143206731659623,2.03,-6.33886903149392,"dB(S(ground_T1,ground_T1)) []",-6.33886903149392
2.5,6.3,1.575,0.5,0.01GHz,0.035,1.15,1.5,201.0,36.769141459308884,Patch,58.46432388711046,0.035,2.0,3.0,1.575,50.0,60.0,Interpolating,GHz,5.365276422302129,0.35455535797001614,5.010721064332112,5.365276422302129,7.295921019940382,5.40397058823254,0.35711239749099605,5.046858190741544,5.40397058823254,7.3271297665586435,-15.0,3.0721572794101992,0.20301839797363125,2.8691388814365673,3.0721572794101992,4.8744344567961795,0.0,RealizedGain,3.0721572794101992,max,-0.3033138772608225,0.1726690487693369,-1.158841873625462,0.6153124388323901,1.3576957663598779,2.555,-10.9364003451694,"dB(S(ground_T1,ground_T1)) []",-10.9364003451694
2.5,6.3,1.575,0.5,0.01GHz,0.035,1.15,1.5,201.0,39.54276026183677,Patch,30.811728575427402,0.035,2.0,3.0,1.575,50.0,60.0,Interpolating,GHz,5.46275629879367,0.6382466168796669,4.824509681914001,5.46275629879367,7.374118264618826,5.330496965117762,0.6227939648387827,4.707703000278977,5.330496965117762,7.267677004237754,-20.0,1.9594906843772892,0.2289390614747365,1.730551622902552,1.9594906843772892,2.9214320313784903,0.0,RealizedGain,1.9594906843772892,max,-0.2349983965391964,-0.2866050011199746,-0.6448390895944269,-0.7890107631773181,1.0843072022824518,2.43,-8.64538835926295,"dB(S(ground_T1,ground_T1)) []",-8.64538835926295
2.5,6.3,1.575,0.5,0.01GHz,0.035,1.15,1.5,201.0,42.88091979205048,Patch,33.017751753957285,0.035,2.0,3.0,1.575,50.0,60.0,Interpolating,GHz,4.968323788324238,0.301643266640407,4.666680521683831,4.968323788324238,6.962098912949928,4.720595732396713,0.2866028821541817,4.433992850242531,4.720595732396713,6.739968094321053,-165.0,0.17041350593952134,0.01034636404576596,0.16006714189375537,0.17041350593952134,-7.684959886622368,0.0,RealizedGain,0.17041350593952134,max,-0.01279414531733759,-0.07774493246274489,0.04545081948403974,0.306556309291776,0.31976634037434853,2.235,-8.01326342662969,"dB(S(ground_T1,ground_T1)) []",-8.01326342662969
